Date,Department,Region,Product,Revenue,Cost,Profit,Units_Sold,Employee_Count,Marketing_Spend,Customer_Satisfaction
2023-01-01 00:00:00.000000,HR,East,Product A,699.61,399.83,299.78,399,55,166.41,3.5
2023-01-01 08:45:51.775887,Finance,East,Product E,509.93,223.68,286.25,87,11,201.74,2.2
2023-01-01 17:31:43.551775,Operations,South,Product B,934.06,510.77,423.29,131,33,152.71,4.0
2023-01-02 02:17:35.327663,Finance,West,Product D,895.67,457.49,438.18,445,47,226.29,3.3
2023-01-02 11:03:27.103551,Finance,North,Product B,983.58,405.68,577.9,267,73,157.01,2.8
2023-01-02 19:49:18.879439,Marketing,West,Product E,493.11,220.84,272.27,226,62,237.48,4.3
2023-01-03 04:35:10.655327,Operations,North,Product A,643.03,429.17,213.86,488,12,297.28,3.2
2023-01-03 13:21:02.431215,Operations,East,Product C,255.15,103.67,151.48,123,46,142.45,3.6
2023-01-03 22:06:54.207103,Operations,North,Product E,607.89,441.93,165.96,379,46,189.55,4.7
2023-01-04 06:52:45.982991,Finance,East,Product A,469.49,202.0,267.49,470,17,236.91,3.0
2023-01-04 15:38:37.758879,HR,West,Product D,823.61,559.84,263.77,389,30,165.13,2.9
2023-01-05 00:24:29.534767,Operations,East,Product B,969.16,692.48,276.68,155,22,237.15,4.0
2023-01-05 09:10:21.310655,IT,West,Product B,844.49,615.97,228.52,474,46,244.43,4.5
2023-01-05 17:56:13.086543,Finance,South,Product B,840.12,591.12,249.0,246,55,286.66,2.9
2023-01-06 02:42:04.862431,Marketing,South,Product D,886.15,443.64,442.51,485,20,151.52,4.0
2023-01-06 11:27:56.638319,HR,South,Product A,375.56,194.01,181.55,469,7,124.58,4.1
2023-01-06 20:13:48.414207,IT,East,Product D,1093.68,600.75,492.93,428,49,175.39,2.6
2023-01-07 04:59:40.190095,IT,South,Product B,584.45,262.27,322.18,95,26,122.58,4.3
2023-01-07 13:45:31.965982,Marketing,North,Product E,441.65,180.1,261.55,176,27,245.16,4.3
2023-01-07 22:31:23.741870,HR,West,Product C,247.78,174.48,73.3,138,63,107.06,3.6
2023-01-08 07:17:15.517758,Finance,West,Product D,840.09,498.97,341.12,174,66,386.64,4.6
2023-01-08 16:03:07.293646,Sales,North,Product D,683.92,419.28,264.64,286,72,303.67,4.5
2023-01-09 00:48:59.069534,HR,East,Product A,434.39,314.69,119.7,266,58,201.01,3.9
2023-01-09 09:34:50.845422,Marketing,East,Product A,439.73,278.26,161.47,141,61,269.39,3.5
2023-01-09 18:20:42.621310,IT,West,Product D,892.07,572.53,319.54,489,27,69.06,3.2
2023-01-10 03:06:34.397198,Finance,South,Product B,914.97,618.01,296.96,67,64,401.87,3.8
2023-01-10 11:52:26.173086,HR,East,Product C,386.12,170.17,215.95,266,77,152.78,4.1
2023-01-10 20:38:17.948974,Sales,East,Product A,715.91,376.61,339.3,150,59,190.36,3.6
2023-01-11 05:24:09.724862,Sales,North,Product B,766.99,566.71,200.28,183,67,51.53,2.5
2023-01-11 14:10:01.500750,Operations,North,Product E,390.0,281.98,108.02,184,60,238.9,4.6
2023-01-11 22:55:53.276638,Operations,South,Product A,798.6,566.55,232.05,218,59,111.49,3.9
2023-01-12 07:41:45.052526,Marketing,East,Product B,701.16,391.41,309.75,213,29,208.13,3.6
2023-01-12 16:27:36.828414,HR,East,Product B,714.41,500.1,214.31,16,30,156.46,4.3
2023-01-13 01:13:28.604302,HR,North,Product C,404.11,168.49,235.62,60,53,113.78,4.7
2023-01-13 09:59:20.380190,IT,East,Product C,404.32,182.74,221.58,268,67,135.65,2.1
